iteration,agent,x,y,mass,fitness
11,15,0.0820166,-0.218918,0.0346096,0.0546517
11,16,0.16094,-1.45014,0.0341175,2.12881
11,17,0.508737,-0.031331,0.0345609,0.259795
11,18,0.274029,-0.26417,0.0345882,0.144877
11,19,0.24867,-0.292179,0.0345877,0.147205
11,20,0.318244,-0.24033,0.0345849,0.159038
11,21,0.337695,-0.350445,0.0345664,0.23685
11,22,0.171606,-0.42562,0.0345726,0.210601
11,23,0.250154,-0.336,0.034581,0.175473
11,24,0.33123,-0.46113,0.0345461,0.322355
11,25,1.13815,-0.0734594,0.0343139,1.30077
11,26,0.170998,-0.120946,0.0346122,0.0438682
11,27,9.7965,7.06685,0,145.912
11,28,-0.00405985,-0.386204,0.0345872,0.14917
11,29,1.01044,0.151492,0.0343749,1.04393
12,0,0.196634,-0.346643,0.0345299,0.158826
12,1,0.180284,-0.0765801,0.0345584,0.0383668
12,2,-0.213027,-0.282662,0.0345378,0.125278
12,3,0.361052,-0.450822,0.0344885,0.333599
12,4,-0.363341,-0.208763,0.0345259,0.175598
12,5,0.388649,-0.104781,0.0345291,0.162027
12,6,-0.0662667,-0.297244,0.0345455,0.0927451
12,7,0.268024,-0.308815,0.0345279,0.167204
12,8,0.334892,-0.933399,0.0343345,0.983385
12,9,0.330294,0.577442,0.0344627,0.442533
12,10,0.239921,-0.301345,0.0345324,0.148371
12,11,-0.236816,-0.259635,0.0345383,0.123492
12,12,1.47931,0.217211,0.0340379,2.23555
12,13,0.492584,-0.371691,0.0344773,0.380793
12,14,0.305711,-0.259133,0.0345295,0.160609
12,15,0.487732,-0.311807,0.0344881,0.335106
12,16,0.188654,-0.627151,0.0344659,0.428909
12,17,0.272458,-0.259454,0.034534,0.14155
12,18,0.207091,-0.395512,0.0345203,0.199317
12,19,0.397219,-0.237436,0.0345168,0.214158
12,20,0.193775,-0.44689,0.0345113,0.23726
12,21,0.416716,-0.242695,0.0345124,0.232553
12,22,0.487389,-0.161047,0.0345051,0.263484
12,23,0.236078,-0.146495,0.0345492,0.077194
12,24,0.249093,-0.354222,0.0345231,0.18752
12,25,0.421155,-0.215809,0.0345145,0.223945
12,26,0.382908,-0.340961,0.0345052,0.262874
12,27,9.7965,7.06685,0,145.912
12,28,0.437781,-0.187411,0.0345138,0.226775
12,29,1.26246,0.150469,0.0341846,1.61646
13,0,0.261286,-0.290299,0.0345057,0.152544
13,1,0.0277756,-0.245752,0.0345273,0.0611655
13,2,0.0439273,-0.242479,0.0345274,0.0607258
13,3,-0.0381292,-0.340954,0.0345139,0.117703
13,4,0.200181,-0.300568,0.0345109,0.130414
13,5,0.275206,-0.242609,0.0345099,0.134597
13,6,0.12704,-0.307444,0.0345156,0.110661
13,7,0.201303,-0.259288,0.0345163,0.107753
13,8,0.239556,0.261177,0.0345121,0.125601
13,9,0.292878,0.46099,0.0344712,0.29829
13,10,0.245308,-0.31374,0.0345043,0.158608
13,11,0.110305,-0.279527,0.0345204,0.0903028
13,12,1.11739,0.138359,0.0342417,1.2677
13,13,0.389197,-0.322309,0.0344814,0.255357
13,14,0.286241,-0.245421,0.0345082,0.142166
13,15,0.564893,-0.290809,0.0344462,0.403674
13,16,0.257256,0.306997,0.0345038,0.160428
13,17,0.300814,-0.490046,0.0344635,0.330634
13,18,0.273234,-0.271217,0.0345067,0.148216
13,19,0.439623,-0.296596,0.0344752,0.281237
13,20,0.218766,-0.249946,0.0345157,0.110332
13,21,0.255953,-0.203002,0.0345165,0.106722
13,22,0.288504,-0.261128,0.034506,0.151422
13,23,0.260359,-0.138381,0.0345212,0.0869361
13,24,0.248427,-0.206923,0.0345171,0.104533
13,25,0.280759,-0.384115,0.0344882,0.22637
13,26,0.463023,-0.286404,0.0344716,0.296417
13,27,9.7965,7.06685,0,145.912
13,28,0.535747,-0.323774,0.034449,0.391854
13,29,1.10503,0.0219567,0.0342526,1.22157
14,0,0.297998,-0.148662,0.0345142,0.110903
14,1,0.148252,-0.362565,0.0345041,0.153432
14,2,0.261265,-0.254072,0.034509,0.132812
14,3,-0.0581353,-0.204685,0.0345297,0.0452759
14,4,0.441602,-0.296071,0.0344735,0.282671
14,5,0.12771,-0.34018,0.0345092,0.132032
14,6,0.35937,-0.256307,0.0344943,0.19484
14,7,0.211857,-0.226866,0.0345176,0.0963513
14,8,0.239504,1.06156,0.0342601,1.18427
14,9,0.261958,0.237925,0.0345108,0.125231
14,10,0.236078,-0.207697,0.034517,0.0988709
14,11,0.616245,-0.248416,0.0344359,0.441468
14,12,0.731349,-0.00342809,0.0344138,0.534883
14,13,0.240589,-0.209481,0.0345163,0.101765
14,14,0.188566,-0.297025,0.0345111,0.123781
14,15,0.355308,-0.259415,0.0344946,0.19354
14,16,0.273922,0.967424,0.0343011,1.01094
14,17,0.254798,-0.352686,0.0344956,0.189309
14,18,0.269255,-0.173424,0.0345161,0.102574
14,19,0.255455,-0.286595,0.0345055,0.147394
14,20,0.311398,-0.199523,0.034508,0.136778
14,21,0.203593,-0.300338,0.0345093,0.131653
14,22,0.13595,-0.276532,0.0345179,0.0949522
14,23,0.242316,-0.310403,0.0345037,0.155067
14,24,0.254461,-0.191312,0.0345164,0.10135
14,25,0.176831,-0.299147,0.0345118,0.120758
14,26,0.283244,-0.21023,0.034511,0.124424
14,27,9.7965,7.06685,0,145.912
14,28,0.301917,-0.397066,0.0344815,0.248815
14,29,0.732134,-0.109031,0.0344107,0.547908
15,0,0.241293,-0.182622,0.0345114,0.0915731
15,1,0.361211,-0.322001,0.0344777,0.234158
15,2,0.277775,-0.237808,0.0345015,0.133712
15,3,0.119268,-0.0909679,0.0345278,0.0225001
15,4,0.375053,-0.23415,0.0344868,0.195491
15,5,0.122765,-0.274549,0.0345117,0.0904487
15,6,0.263882,-0.224916,0.0345047,0.120221
15,7,0.320439,-0.262539,0.0344925,0.171608
15,8,0.241761,0.922351,0.0343179,0.909179
