iter,avg_best,median_best,std_best,avg_mean
333,9.94608e-05,0.000100152,1.39275e-05,0.000367669
334,9.54776e-05,9.67705e-05,1.60491e-05,0.000434118
335,9.28247e-05,9.24558e-05,1.46728e-05,0.00034911
336,9.17325e-05,9.08818e-05,1.49277e-05,0.000391276
337,8.76902e-05,8.7302e-05,1.54219e-05,0.000313133
338,8.40447e-05,8.50276e-05,1.49078e-05,0.000346104
339,7.64105e-05,7.63212e-05,1.46018e-05,0.000276765
340,7.42744e-05,7.45874e-05,1.54279e-05,0.00032687
341,7.03447e-05,6.64784e-05,1.53233e-05,0.000262468
342,6.82884e-05,6.46173e-05,1.50391e-05,0.000298903
343,6.42158e-05,6.32263e-05,1.20852e-05,0.000244343
344,6.17632e-05,6.11068e-05,1.28944e-05,0.000278459
345,5.93134e-05,6.11068e-05,1.15511e-05,0.000231303
346,5.71218e-05,5.61351e-05,1.07384e-05,0.000257577
347,5.31556e-05,5.17762e-05,1.13711e-05,0.000207915
348,5.10455e-05,5.04021e-05,1.1083e-05,0.000235545
349,4.89646e-05,4.94037e-05,7.56238e-06,0.000194674
350,4.73228e-05,4.68541e-05,8.47552e-06,0.000213816
351,4.56777e-05,4.47368e-05,8.10953e-06,0.000176965
352,4.47175e-05,4.34596e-05,8.13578e-06,0.000192454
353,4.22565e-05,4.20827e-05,7.65951e-06,0.000153333
354,4.09042e-05,4.10813e-05,8.44592e-06,0.000177427
355,3.87511e-05,3.90448e-05,7.60844e-06,0.0001434
356,3.80225e-05,3.86325e-05,5.90166e-06,0.000163004
357,3.6896e-05,3.59387e-05,6.44972e-06,0.000132873
358,3.59848e-05,3.46052e-05,6.35676e-06,0.000148468
359,3.42089e-05,3.26834e-05,6.0091e-06,0.000124383
360,3.22104e-05,3.25123e-05,4.78974e-06,0.00013652
361,3.05133e-05,3.04451e-05,5.96625e-06,0.000111984
362,2.9253e-05,2.98724e-05,5.25802e-06,0.000127894
363,2.81324e-05,2.782e-05,4.96571e-06,9.91413e-05
364,2.75206e-05,2.72708e-05,5.02319e-06,0.000118453
365,2.56595e-05,2.4956e-05,4.25587e-06,9.30449e-05
366,2.49891e-05,2.49458e-05,4.1615e-06,0.00010903
367,2.38343e-05,2.39959e-05,3.69356e-06,8.79317e-05
368,2.21906e-05,2.11418e-05,3.87646e-06,9.18435e-05
369,2.15703e-05,2.0857e-05,3.63128e-06,8.29043e-05
370,2.13636e-05,2.0857e-05,3.45049e-06,8.28832e-05
371,2.04241e-05,1.9919e-05,3.52139e-06,7.55979e-05
372,1.98928e-05,1.95317e-05,3.56023e-06,7.54093e-05
373,1.89605e-05,1.91938e-05,3.53863e-06,6.75631e-05
374,1.84853e-05,1.86457e-05,3.30215e-06,7.02459e-05
375,1.80473e-05,1.81624e-05,3.21892e-06,5.9648e-05
376,1.72388e-05,1.74614e-05,3.08333e-06,6.70356e-05
377,1.64526e-05,1.72241e-05,3.31927e-06,5.40785e-05
378,1.59207e-05,1.60225e-05,3.16122e-06,6.23808e-05
379,1.50898e-05,1.52649e-05,2.7711e-06,5.06481e-05
380,1.49163e-05,1.52109e-05,2.60083e-06,5.83049e-05
381,1.43784e-05,1.43054e-05,2.4789e-06,4.96324e-05
382,1.35373e-05,1.32205e-05,2.66252e-06,5.15932e-05
383,1.27555e-05,1.25282e-05,2.66359e-06,4.62951e-05
384,1.19008e-05,1.18947e-05,2.2403e-06,4.79641e-05
385,1.15449e-05,1.18002e-05,2.42723e-06,4.30224e-05
386,1.1202e-05,1.15635e-05,2.17819e-06,4.5053e-05
387,1.09904e-05,1.09093e-05,2.1265e-06,4.09196e-05
388,1.05687e-05,1.09093e-05,2.14496e-06,3.86513e-05
389,1.01208e-05,1.05192e-05,2.07245e-06,3.5034e-05
390,9.86877e-06,9.807e-06,1.97028e-06,3.57205e-05
391,9.48521e-06,9.57741e-06,1.96981e-06,3.17877e-05
392,9.04171e-06,8.72051e-06,1.77615e-06,3.29605e-05
393,8.4842e-06,8.40886e-06,1.60943e-06,3.05517e-05
394,8.1864e-06,8.35707e-06,1.71448e-06,3.04097e-05
395,7.7051e-06,7.1213e-06,1.7327e-06,2.79355e-05
396,7.21774e-06,7.00799e-06,1.79955e-06,2.85498e-05
397,6.91548e-06,6.76332e-06,1.75034e-06,2.60798e-05
398,6.72844e-06,6.64044e-06,1.71113e-06,2.77748e-05
399,6.23045e-06,6.09862e-06,1.39123e-06,2.30956e-05
400,6.04985e-06,6.0652e-06,1.34932e-06,2.64049e-05
401,5.65e-06,5.70951e-06,1.24079e-06,2.04309e-05
402,5.28065e-06,5.21266e-06,1.13093e-06,2.39655e-05
403,5.20199e-06,5.16542e-06,1.0988e-06,1.83676e-05
404,5.14232e-06,5.16542e-06,1.02121e-06,2.2457e-05
405,4.7808e-06,4.81468e-06,1.02806e-06,1.67931e-05
406,4.71294e-06,4.81468e-06,9.58553e-07,2.00028e-05
407,4.51133e-06,4.67821e-06,9.36261e-07,1.52924e-05
408,4.38729e-06,4.57661e-06,8.91852e-07,1.7653e-05
409,4.11544e-06,4.2673e-06,9.51998e-07,1.38516e-05
410,4.00459e-06,3.98386e-06,8.76785e-07,1.65097e-05
411,3.90287e-06,3.83718e-06,8.23871e-07,1.30392e-05
412,3.83048e-06,3.82774e-06,7.97192e-07,1.48546e-05
413,3.68019e-06,3.60929e-06,6.87215e-07,1.16615e-05
414,3.53473e-06,3.50355e-06,6.36719e-07,1.3358e-05
415,3.37448e-06,3.32522e-06,5.70054e-07,1.13732e-05
416,3.27798e-06,3.29954e-06,4.5542e-07,1.24856e-05
417,3.18002e-06,3.13346e-06,5.14814e-07,1.04581e-05
418,3.00091e-06,2.99966e-06,5.81364e-07,1.17728e-05
419,2.87249e-06,2.91795e-06,6.50482e-07,1.00388e-05
420,2.76325e-06,2.86208e-06,6.83153e-07,1.06786e-05
421,2.58473e-06,2.46602e-06,6.57631e-07,9.49481e-06
422,2.46874e-06,2.37607e-06,6.05038e-07,9.94822e-06
423,2.31397e-06,2.22511e-06,5.03133e-07,8.66025e-06
424,2.2101e-06,2.13906e-06,4.23593e-07,9.41937e-06
425,2.12863e-06,2.0558e-06,4.3997e-07,7.71116e-06
426,2.04468e-06,2.03024e-06,3.59073e-07,8.83259e-06
427,1.96835e-06,1.96104e-06,3.25156e-07,7.07664e-06
428,1.89845e-06,1.89122e-06,3.28284e-07,8.10701e-06
429,1.76017e-06,1.72071e-06,2.97173e-07,6.0822e-06
430,1.70161e-06,1.64671e-06,2.87964e-07,7.2741e-06
431,1.59698e-06,1.5941e-06,2.40317e-07,5.42235e-06
432,1.56684e-06,1.58541e-06,2.01277e-07,6.91779e-06
433,1.49597e-06,1.52533e-06,2.32471e-07,4.85277e-06
434,1.45554e-06,1.47417e-06,2.31265e-07,6.04442e-06
435,1.36721e-06,1.38139e-06,2.53959e-07,4.45134e-06
436,1.31643e-06,1.25404e-06,2.43036e-07,5.59105e-06
437,1.27598e-06,1.23387e-06,2.70646e-07,4.18732e-06
438,1.22001e-06,1.21406e-06,2.43812e-07,4.93625e-06
439,1.20286e-06,1.20847e-06,2.40782e-07,3.90897e-06
440,1.1439e-06,1.18402e-06,2.38511e-07,4.42412e-06
441,1.1015e-06,1.14258e-06,2.34073e-07,3.62525e-06
442,1.01566e-06,1.03954e-06,2.06306e-07,4.11159e-06
443,9.38074e-07,9.49579e-07,1.7779e-07,3.24041e-06
444,9.12496e-07,9.19161e-07,1.94652e-07,3.85618e-06
